BEGIN
 year | t_div | o_div | won | lost | tied | count 
------+-------+-------+-----+------+------+-------
 1999 |     1 |     1 | 198 |  198 |   34 |   430
 1999 |     1 |     3 |  77 |   56 |   13 |   146
 1999 |     3 |     3 | 103 |  103 |    6 |   212
 2000 |     1 |     1 | 367 |  367 |   50 |   784
 2000 |     1 |     3 | 114 |   28 |    7 |   149
 2000 |     3 |     3 | 151 |  151 |   22 |   328
 2001 |     1 |     1 | 390 |  390 |   58 |   838
 2001 |     1 |     2 |   2 |    0 |    0 |     2
 2001 |     1 |     3 |  67 |   56 |   11 |   134
 2001 |     2 |     3 |   0 |    6 |    0 |     6
 2001 |     3 |     3 | 240 |  240 |   22 |   502
 2002 |     1 |     1 | 412 |  412 |   76 |   900
 2002 |     1 |     2 |   8 |    0 |    0 |     8
 2002 |     1 |     3 |  54 |   34 |    8 |    96
 2002 |     2 |     3 |   2 |   14 |    0 |    16
 2002 |     3 |     3 | 406 |  406 |   42 |   858
 2003 |     1 |     1 | 425 |  425 |   72 |   922
 2003 |     1 |     2 |  10 |    0 |    0 |    10
 2003 |     1 |     3 |  68 |   28 |    6 |   102
 2003 |     2 |     3 |   4 |   14 |    0 |    18
 2003 |     3 |     3 | 408 |  408 |   78 |   894
 2004 |     1 |     1 | 466 |  466 |   82 |  1016
 2004 |     1 |     2 |   8 |    0 |    0 |     8
 2004 |     1 |     3 |  46 |   36 |    6 |    88
 2004 |     2 |     3 |   3 |   16 |    1 |    20
 2004 |     3 |     3 | 432 |  432 |   44 |   908
 2005 |     1 |     1 | 459 |  459 |   96 |  1014
 2005 |     1 |     2 |  10 |   10 |    0 |    20
 2005 |     1 |     3 |  36 |   28 |    4 |    68
 2005 |     2 |     2 |   3 |    3 |    0 |     6
 2005 |     2 |     3 |  19 |   15 |    1 |    35
 2005 |     3 |     3 | 436 |  436 |   60 |   936
 2006 |     1 |     1 | 502 |  502 |  104 |  1108
 2006 |     1 |     2 |  16 |    8 |    0 |    24
 2006 |     1 |     3 |  32 |   26 |    6 |    64
 2006 |     2 |     2 |   2 |    2 |    0 |     4
 2006 |     2 |     3 |  18 |   19 |    0 |    37
 2006 |     3 |     3 | 433 |  433 |   64 |   934
 2007 |     1 |     1 | 519 |  519 |   88 |  1126
 2007 |     1 |     2 |   6 |    8 |    0 |    14
 2007 |     1 |     3 |  36 |   18 |    6 |    60
 2007 |     2 |     2 |   3 |    3 |    0 |     6
 2007 |     2 |     3 |  21 |   19 |    0 |    40
 2007 |     3 |     3 | 448 |  448 |   90 |   986
 2008 |     1 |     1 | 509 |  509 |  114 |  1132
 2008 |     1 |     2 |   8 |    4 |    2 |    16
 2008 |     1 |     3 |  40 |   24 |    2 |    66
 2008 |     2 |     2 |   3 |    3 |    0 |     6
 2008 |     2 |     3 |  26 |   11 |    1 |    38
 2008 |     3 |     3 | 496 |  496 |   88 |  1082
 2009 |     1 |     1 | 522 |  522 |  120 |  1164
 2009 |     1 |     2 |  12 |    2 |    0 |    14
 2009 |     1 |     3 |  58 |   10 |    6 |    74
 2009 |     2 |     2 |   3 |    3 |    0 |     6
 2009 |     2 |     3 |  18 |   18 |    5 |    41
 2009 |     3 |     3 | 522 |  522 |   90 |  1134
 2010 |     1 |     1 | 497 |  497 |  164 |  1158
 2010 |     1 |     2 |  14 |    4 |    2 |    20
 2010 |     1 |     3 |  40 |   18 |    6 |    64
 2010 |     2 |     2 |   1 |    1 |    0 |     2
 2010 |     2 |     3 |  15 |   23 |    2 |    40
 2010 |     3 |     3 | 530 |  530 |  100 |  1162
 2011 |     1 |     1 | 520 |  520 |  116 |  1156
 2011 |     1 |     2 |   6 |    8 |    2 |    16
 2011 |     1 |     3 |  38 |   32 |    0 |    70
 2011 |     2 |     2 |   3 |    3 |    0 |     6
 2011 |     2 |     3 |  19 |   19 |    2 |    40
 2011 |     3 |     3 | 542 |  542 |  114 |  1198
 2012 |     1 |     1 | 520 |  520 |  106 |  1146
 2012 |     1 |     2 |  16 |    8 |    0 |    24
