year,round_id,school_id,school_name,bracket,p
2015,1,rit,RIT,"{2,1,1,1,1}",1
2015,1,nebraska-omaha,Nebraska-Omaha,"{3,2,1,1,1}",1
2015,1,harvard,Harvard,"{4,2,1,1,1}",1
2015,1,miami,Miami (Ohio),"{5,3,2,1,1}",1
2015,1,providence,Providence,"{6,3,2,1,1}",1
2015,1,denver,Denver,"{7,4,2,1,1}",1
2015,1,boston-university,Boston University,"{9,5,3,2,1}",1
2015,1,minnesota-duluth,Minnesota-Duluth,"{11,6,3,2,1}",1
2015,1,north-dakota,North Dakota,"{13,7,4,2,1}",1
2015,1,st-cloud-state,St. Cloud State,"{16,8,4,2,1}",1
