BEGIN
SET
    date    |        team         | h_div |  site   |         opp         | v_div | t_score | o_score 
------------+---------------------+-------+---------+---------------------+-------+---------+---------
 2013-03-10 | Alma                |     3 | home    | Concordia (WI)      |     3 |     4.0 |    10.8
 2013-03-10 | Anna Maria          |     3 | home    | Mt. St. Vincent     |     3 |     7.9 |     8.5
 2013-03-10 | Centenary (LA)      |     3 | neutral | Wilmington (OH)     |     3 |     4.6 |    15.3
 2013-03-10 | Centenary (NJ)      |     3 | home    | St. Joseph's (ME)   |     3 |    15.7 |     7.6
 2013-03-10 | Drew                |     3 | neutral | Ithaca              |     3 |     8.2 |    12.1
 2013-03-10 | Eastern Conn. St.   |     3 | home    | Endicott            |     3 |     8.2 |     8.1
 2013-03-10 | Elizabethtown       |     3 | neutral | Emmanuel (MA)       |     3 |     4.9 |     5.1
 2013-03-10 | Emmanuel (MA)       |     3 | neutral | Elizabethtown       |     3 |     5.1 |     4.9
 2013-03-10 | Ithaca              |     3 | neutral | Drew                |     3 |    12.1 |     8.2
 2013-03-10 | Lees-McRae          |     2 | home    | Lake Erie           |     2 |     1.6 |    25.4
 2013-03-10 | Maryland            |     1 | home    | Stony Brook         |     1 |    15.6 |     5.6
 2013-03-10 | Nazareth            |     3 | neutral | St. Lawrence        |     3 |     7.9 |     8.1
 2013-03-10 | Oglethorpe          |     3 | home    | Bridgewater (VA)    |     3 |     5.4 |     7.3
 2013-03-10 | Salisbury           |     3 | home    | Ohio Wesleyan       |     3 |    10.6 |     6.8
 2013-03-10 | Sewanee             |     3 | neutral | Va. Wesleyan        |     3 |     8.3 |    11.1
 2013-03-10 | Shenandoah          |     3 | home    | SUNYIT              |     3 |    16.5 |     3.9
 2013-03-10 | St. Lawrence        |     3 | neutral | Nazareth            |     3 |     8.1 |     7.9
 2013-03-10 | Va. Wesleyan        |     3 | neutral | Sewanee             |     3 |    11.1 |     8.3
 2013-03-10 | Wilmington (OH)     |     3 | neutral | Centenary (LA)      |     3 |    15.3 |     4.6
 2013-03-11 | Berry               |     3 | home    | Kenyon              |     3 |    10.3 |     5.4
 2013-03-11 | Chris. Newport      |     3 | home    | FDU-Florham         |     3 |    13.4 |     4.5
 2013-03-11 | Lebanon Valley      |     3 | home    | Rosemont            |     3 |    36.4 |     3.5
 2013-03-11 | Mt. St. Mary (NY)   |     3 | home    | Husson              |     3 |    10.4 |     5.7
 2013-03-11 | Southwestern (TX)   |     3 | home    | Skidmore            |     3 |     8.9 |     8.6
 2013-03-11 | St. Leo             |     2 | home    | Adams St.           |     2 |    10.2 |     8.3
 2013-03-11 | Whittier            |     3 | home    | Keene St.           |     3 |    12.6 |    11.4
 2013-03-12 | Birmingham-So.      |     3 | home    | Millsaps            |     3 |    12.5 |     6.7
 2013-03-12 | Bucknell            |     1 | home    | Drexel              |     1 |     9.8 |     9.7
 2013-03-12 | Chestnut Hill       |     2 | home    | Saint Rose          |     2 |    12.4 |     7.4
 2013-03-12 | Coker               |     2 | home    | Belmont Abbey       |     2 |     7.7 |    11.2
 2013-03-12 | Colgate             |     1 | home    | Binghamton          |     1 |     6.5 |     6.4
 2013-03-12 | Florida Tech        |     2 | home    | Molloy              |     2 |    11.7 |    18.2
 2013-03-12 | Greensboro          |     3 | neutral | Rensselaer          |     3 |     6.8 |     7.1
 2013-03-12 | Hobart              |     1 | home    | Canisius            |     1 |     9.5 |     6.7
 2013-03-12 | Huntingdon          |     3 | home    | Dallas              |     3 |    13.4 |     6.6
 2013-03-12 | Jacksonville        |     1 | home    | Robert Morris       |     1 |     8.6 |    10.3
 2013-03-12 | Mercer              |     1 | home    | Marquette           |     1 |     8.9 |     9.2
 2013-03-12 | Mercyhurst          |     2 | home    | Dominican (CA)      |     2 |    20.3 |     8.9
 2013-03-12 | Mt. St. Marys       |     1 | home    | Georgetown          |     1 |    11.9 |    11.5
 2013-03-12 | Mt. St. Vincent     |     3 | home    | Becker              |     3 |    16.0 |     6.8
 2013-03-12 | Navy                |     1 | home    | Towson              |     1 |     9.2 |     8.3
 2013-03-12 | Oglethorpe          |     3 | home    | Transylvania        |     3 |     6.4 |     6.2
 2013-03-12 | Oneonta St.         |     3 | home    | Hartwick            |     3 |     9.0 |    10.1
 2013-03-12 | Princeton           |     1 | home    | Manhattan           |     1 |    20.1 |     7.5
 2013-03-12 | Quinnipiac          |     1 | home    | Providence          |     1 |     9.7 |     8.9
 2013-03-12 | Rensselaer          |     3 | neutral | Greensboro          |     3 |     7.1 |     6.8
 2013-03-12 | Roanoke             |     3 | home    | Wooster             |     3 |     9.7 |    11.4
 2013-03-12 | Salve Regina        |     3 | home    | St. Joseph's (ME)   |     3 |     9.4 |    11.2
 2013-03-12 | St. John Fisher     |     3 | home    | Brockport           |     3 |     9.7 |     5.8
 2013-03-12 | Va. Wesleyan        |     3 | home    | Ithaca              |     3 |    12.5 |     8.1
 2013-03-12 | Wagner              |     1 | home    | VMI                 |     1 |    13.4 |     9.5
 2013-03-12 | Washington Col.     |     3 | home    | Catholic            |     3 |    14.3 |     5.6
 2013-03-13 | Alvernia            |     3 | home    | Rosemont            |     3 |    17.6 |     6.6
 2013-03-13 | Bates               |     3 | home    | U New England       |     3 |    10.9 |     9.0
 2013-03-13 | Benedictine (IL)    |     3 | home    | Beloit              |     3 |    12.0 |     7.0
 2013-03-13 | Calvin              |     3 | home    | Hope                |     3 |     3.6 |    13.9
 2013-03-13 | Coker               |     2 | home    | Wingate             |     2 |    10.7 |    10.2
 2013-03-13 | Colorado Col.       |     3 | home    | Wheaton (MA)        |     3 |    14.5 |     5.9
 2013-03-13 | Defiance            |     3 | home    | Bethany (WV)        |     3 |    10.2 |     7.2
