BEGIN
 year | div | div | won  | lost | tied | count 
------+-----+-----+------+------+------+-------
 2002 |   1 |   1 |  375 |  381 |    0 |   756
 2002 |   1 |   2 |    5 |    0 |    0 |     5
 2002 |   1 |   3 |    0 |    2 |    0 |     2
 2002 |   2 |   2 |  148 |  145 |    0 |   293
 2002 |   2 |   3 |   12 |   24 |    0 |    36
 2002 |   3 |   3 |  782 |  688 |    0 |  1470
 2003 |   1 |   1 |  412 |  386 |    0 |   798
 2003 |   1 |   2 |    2 |    0 |    0 |     2
 2003 |   1 |   3 |    0 |    2 |    0 |     2
 2003 |   2 |   2 |  120 |  143 |    0 |   263
 2003 |   2 |   3 |    6 |   17 |    0 |    23
 2003 |   3 |   3 |  785 |  661 |    0 |  1446
 2004 |   1 |   1 |  416 |  377 |    0 |   793
 2004 |   1 |   2 |    5 |    1 |    0 |     6
 2004 |   1 |   3 |    0 |    2 |    0 |     2
 2004 |   2 |   2 |  198 |  136 |    0 |   334
 2004 |   2 |   3 |    4 |   12 |    0 |    16
 2004 |   3 |   3 |  906 |  751 |    0 |  1657
 2005 |   1 |   1 |  438 |  360 |    0 |   798
 2005 |   1 |   2 |   13 |    2 |    0 |    15
 2005 |   1 |   3 |    7 |    0 |    0 |     7
 2005 |   2 |   2 |  176 |  147 |    0 |   323
 2005 |   2 |   3 |    0 |    6 |    0 |     6
 2005 |   3 |   3 |  922 |  801 |    0 |  1723
 2006 |   1 |   1 |  408 |  398 |    0 |   806
 2006 |   1 |   2 |    2 |    0 |    0 |     2
 2006 |   1 |   3 |    0 |    2 |    0 |     2
 2006 |   2 |   2 |  200 |  180 |    0 |   380
 2006 |   2 |   3 |    0 |   10 |    0 |    10
 2006 |   3 |   3 |  933 |  934 |    2 |  1869
 2007 |   1 |   1 |  472 |  360 |    0 |   832
 2007 |   1 |   2 |    6 |    0 |    0 |     6
 2007 |   1 |   3 |    0 |    2 |    0 |     2
 2007 |   2 |   2 |  212 |  169 |    0 |   381
 2007 |   2 |   3 |   10 |    4 |    0 |    14
 2007 |   3 |   3 | 1081 |  922 |    0 |  2003
 2008 |   1 |   1 |  478 |  364 |    0 |   842
 2008 |   1 |   2 |    1 |    0 |    0 |     1
 2008 |   1 |   3 |    0 |    2 |    0 |     2
 2008 |   2 |   2 |  179 |  210 |    0 |   389
 2008 |   2 |   3 |    6 |    0 |    0 |     6
 2008 |   3 |   3 | 1130 | 1014 |    0 |  2144
 2009 |   1 |   1 |  474 |  412 |    0 |   886
 2009 |   1 |   2 |    0 |    2 |    0 |     2
 2009 |   2 |   2 |  242 |  244 |    0 |   486
 2009 |   2 |   3 |   11 |    2 |    0 |    13
 2009 |   3 |   3 | 1167 | 1026 |    0 |  2193
 2010 |   1 |   1 |  480 |  412 |    0 |   892
 2010 |   2 |   2 |  254 |  226 |    0 |   480
 2010 |   2 |   3 |   14 |    0 |    0 |    14
 2010 |   3 |   3 | 1336 | 1079 |    0 |  2415
 2011 |   1 |   1 |  502 |  410 |    0 |   912
 2011 |   2 |   2 |  292 |  238 |    0 |   530
 2011 |   2 |   3 |    4 |    6 |    0 |    10
 2011 |   3 |   3 | 1348 | 1268 |    0 |  2616
 2012 |   1 |   1 |  466 |  444 |    0 |   910
 2012 |   2 |   2 |  298 |  289 |    0 |   587
 2012 |   2 |   3 |    2 |    0 |    0 |     2
 2012 |   3 |   3 | 1584 | 1342 |    0 |  2926
 2013 |   1 |   1 |  157 |  142 |    0 |   299
 2013 |   1 |   2 |    2 |    0 |    0 |     2
 2013 |   2 |   2 |   78 |   61 |    0 |   139
 2013 |   2 |   3 |    6 |    0 |    0 |     6
 2013 |   3 |   3 |  301 |  271 |    0 |   572
(64 rows)

COMMIT
