BEGIN
 year | t_div | o_div | won  | lost | tied | count 
------+-------+-------+------+------+------+-------
 1999 |     1 |     1 |  894 |  894 |  186 |  1974
 1999 |     1 |     2 |   27 |   41 |    2 |    71
 1999 |     1 |     3 |   35 |   10 |    2 |    47
 1999 |     2 |     2 |   19 |   19 |    6 |    44
 1999 |     2 |     3 |   96 |   67 |    6 |   170
 1999 |     3 |     3 |  562 |  562 |   72 |  1198
 2000 |     1 |     1 | 1032 | 1032 |  190 |  2256
 2000 |     1 |     2 |   23 |   39 |    6 |    68
 2000 |     1 |     3 |   19 |    3 |    2 |    24
 2000 |     2 |     2 |   12 |   12 |    0 |    26
 2000 |     2 |     3 |   41 |   52 |    4 |    99
 2000 |     3 |     3 |  617 |  617 |   92 |  1340
 2001 |     1 |     1 | 1003 | 1003 |  220 |  2226
 2001 |     1 |     2 |    2 |    0 |    0 |     2
 2001 |     1 |     3 |    1 |    2 |    0 |     3
 2001 |     2 |     2 |   14 |   14 |    2 |    30
 2001 |     2 |     3 |   35 |   51 |    5 |    91
 2001 |     3 |     3 |  645 |  645 |   82 |  1372
 2002 |     1 |     1 |  999 |  999 |  198 |  2196
 2002 |     1 |     3 |    4 |    0 |    0 |     4
 2002 |     2 |     2 |   13 |   13 |    2 |    28
 2002 |     2 |     3 |   50 |   67 |    8 |   125
 2002 |     3 |     3 |  746 |  746 |  110 |  1604
 2003 |     1 |     1 | 1014 | 1014 |  220 |  2248
 2003 |     1 |     3 |    4 |    0 |    0 |     4
 2003 |     2 |     2 |   25 |   25 |    2 |    52
 2003 |     2 |     3 |   47 |   68 |   11 |   126
 2003 |     3 |     3 |  744 |  744 |  120 |  1612
 2004 |     1 |     1 |  963 |  963 |  258 |  2184
 2004 |     2 |     2 |   23 |   23 |    2 |    48
 2004 |     2 |     3 |   57 |   68 |    5 |   131
 2004 |     3 |     3 |  740 |  740 |  126 |  1610
 2005 |     1 |     1 |  945 |  945 |  210 |  2100
 2005 |     2 |     2 |   27 |   27 |    2 |    56
 2005 |     2 |     3 |   55 |   60 |   11 |   126
 2005 |     3 |     3 |  681 |  681 |  122 |  1486
 2006 |     1 |     1 |  992 |  992 |  226 |  2210
 2006 |     1 |     3 |    4 |    2 |    0 |     6
 2006 |     2 |     2 |   24 |   24 |    4 |    52
 2006 |     2 |     3 |   41 |   74 |   13 |   128
 2006 |     3 |     3 |  749 |  749 |  120 |  1620
 2007 |     1 |     1 |  994 |  994 |  230 |  2218
 2007 |     2 |     2 |   26 |   26 |    2 |    54
 2007 |     2 |     3 |   38 |   83 |   10 |   131
 2007 |     3 |     3 |  757 |  757 |  132 |  1648
 2008 |     1 |     1 |  992 |  992 |  260 |  2244
 2008 |     2 |     2 |   25 |   25 |    0 |    50
 2008 |     2 |     3 |   42 |   84 |    7 |   133
 2008 |     3 |     3 |  795 |  795 |  136 |  1726
 2009 |     1 |     1 |  968 |  968 |  262 |  2198
 2009 |     2 |     2 |   24 |   24 |    0 |    48
 2009 |     2 |     3 |   33 |   89 |   12 |   134
 2009 |     3 |     3 |  804 |  804 |  136 |  1748
 2010 |     1 |     1 |  973 |  973 |  250 |  2196
 2010 |     1 |     3 |    2 |    0 |    0 |     2
 2010 |     2 |     2 |   30 |   30 |    6 |    66
 2010 |     2 |     3 |   27 |   56 |    5 |    88
 2010 |     3 |     3 |  831 |  831 |  156 |  1818
 2011 |     1 |     1 |  957 |  957 |  276 |  2190
 2011 |     1 |     3 |    2 |    0 |    0 |     2
 2011 |     2 |     2 |   32 |   32 |    2 |    66
 2011 |     2 |     3 |   22 |   62 |    5 |    89
 2011 |     3 |     3 |  824 |  824 |  142 |  1790
 2012 |     1 |     1 |  978 |  978 |  250 |  2206
 2012 |     1 |     3 |    4 |    0 |    0 |     4
 2012 |     2 |     2 |   29 |   29 |   10 |    68
 2012 |     2 |     3 |   21 |   53 |    6 |    80
 2012 |     3 |     3 |  808 |  808 |  182 |  1798
 2013 |     1 |     1 |  969 |  969 |  268 |  2210
 2013 |     1 |     3 |   10 |    6 |    0 |    16
 2013 |     2 |     2 |   29 |   29 |    4 |    62
 2013 |     2 |     3 |   29 |   55 |    6 |    92
 2013 |     3 |     3 |  838 |  838 |  154 |  1830
 2014 |     1 |     1 |  998 |  998 |  226 |  2224
 2014 |     2 |     2 |   30 |   30 |    2 |    62
 2014 |     2 |     3 |   28 |   53 |   11 |    93
 2014 |     3 |     3 |  841 |  841 |  160 |  1846
 2015 |     1 |     1 |  999 |  999 |  224 |  2224
 2015 |     2 |     2 |   26 |   26 |    8 |    62
 2015 |     2 |     3 |   29 |   57 |    4 |    91
 2015 |     3 |     3 |  840 |  840 |  184 |  1864
 2016 |     1 |     1 |  256 |  256 |   74 |  1990
 2016 |     1 |     2 |    4 |    0 |    0 |     4
 2016 |     1 |     3 |    0 |    0 |    0 |     4
 2016 |     2 |     2 |    5 |    5 |    2 |    56
 2016 |     2 |     3 |    3 |   12 |    1 |    92
 2016 |     3 |     3 |  143 |  143 |   50 |  1712
(87 rows)

COMMIT
