date,site,team,div,score,opp,div,score
2015-10-24,offense_home,(14) Quinnipiac,1,2.8,(9) St. Cloud State,1,2.3
2015-10-24,offense_home,(16) Michigan Tech,1,2.8,Northern Michigan,1,2.5
2015-10-24,offense_home,(17) St. Lawrence,1,2.7,(15) Miami,1,2.0
2015-10-24,offense_home,(18) Union,1,3.5,New Hampshire,1,2.8
2015-10-24,offense_home,(19) Minnesota,1,2.5,Northeastern,1,2.0
2015-10-24,offense_home,(2) Nebraska-Omaha,1,3.6,Air Force,1,2.1
2015-10-24,offense_home,(3) Providence,1,3.4,Ohio State,1,1.8
2015-10-24,offense_home,(7) Massachusetts-Lowell,1,2.1,(19) Merrimack,1,2.2
2015-10-24,offense_home,(8) Boston University,1,2.9,Connecticut,1,2.9
2015-10-24,offense_home,Alabama-Huntsville,1,3.3,Alaska-Anchorage,1,2.9
2015-10-24,offense_home,Arizona State,1,7.4,So. New Hampshire,2,1.6
2015-10-24,offense_home,Bemidji State,1,2.8,Minnesota State,1,2.3
2015-10-24,offense_home,Canisius,1,3.0,Holy Cross,1,3.0
2015-10-24,offense_home,Clarkson,1,2.9,Western Michigan,1,2.3
2015-10-24,offense_home,Colorado College,1,1.8,(4) Boston College,1,3.0
2015-10-24,offense_home,Ferris State,1,3.4,Wisconsin,1,2.7
2015-10-24,offense_home,Mercyhurst,1,3.8,Army West Point,1,2.7
2015-10-24,offense_home,Niagara,1,2.7,Robert Morris,1,3.1
2015-10-24,offense_home,Notre Dame,1,2.9,(5) Minnesota-Duluth,1,2.8
2015-10-24,offense_home,Penn State,1,6.0,American International,1,2.7
2015-10-24,offense_home,Rensselaer,1,2.9,(11) Michigan,1,3.1
2015-10-24,offense_home,RIT,1,2.8,Colgate,1,3.7
2015-10-24,offense_home,Vermont,1,2.2,(1) North Dakota,1,2.6
