2022,Sun.,20211003,10/3/2021,3:00 ET,LIU,liu,/team/liu/mens-hockey/,LIU,1,@,Penn State,penn-state,/team/penn-state/mens-hockey/,Penn State,3,,,NC,Box Score,
2022,Sun.,20211003,10/3/2021,4:37 CT,St. Cloud State,st-cloud-state,/team/st-cloud-state/mens-hockey/,St. Cloud State,2,@,St. Thomas,st-thomas,/team/st-thomas/mens-hockey/,St. Thomas,0,,,NC,Box Score,
2022,Sun.,20211003,10/3/2021,4:00 ET,Minnesota State,minnesota-state,/team/minnesota-state/mens-hockey/,Minnesota State,6,@,Massachusetts,massachusetts,/team/massachusetts/mens-hockey/,Massachusetts,3,,,NC,Box Score,
2022,Sun.,20211003,10/3/2021,6:07 CT,Lake Superior,lake-superior,/team/lake-superior/mens-hockey/,Lake Superior,0,@,Nebraska-Omaha,nebraska-omaha,/team/nebraska-omaha/mens-hockey/,Nebraska-Omaha,3,,,NC,Box Score,
2022,Sun.,20211003,10/3/2021,5:00 ET,US Under-18 Team,,,US Under-18 Team,4,@,Notre Dame,notre-dame,/team/notre-dame/mens-hockey/,Notre Dame,3,,,EX,Box Score,
2022,Sun.,20211003,10/3/2021,1:00 CT,Minnesota Duluth,minnesota-duluth,/team/minnesota-duluth/mens-hockey/,Minnesota Duluth,4,@,Wisconsin,wisconsin,/team/wisconsin/mens-hockey/,Wisconsin,2,,,EX,Box Score,
2022,Mon.,20211004,10/4/2021,7:00 ET,LIU,liu,/team/liu/mens-hockey/,LIU,2,@,Penn State,penn-state,/team/penn-state/mens-hockey/,Penn State,5,,,NC,Box Score,
2022,Thu.,20211007,10/7/2021,7:00 ET,Merrimack,merrimack,/team/merrimack/mens-hockey/,Merrimack,2,@,Providence,providence,/team/providence/mens-hockey/,Providence,5,,,HE,Box Score,NESN
2022,Fri.,20211008,10/8/2021,7:05 ET,RIT,rit,/team/rit/mens-hockey/,RIT,4,@,Army West Point,army,/team/army/mens-hockey/,Army West Point,3,,,AH,Box Score,
2022,Fri.,20211008,10/8/2021,6:37 ET,St. Thomas,st-thomas,/team/st-thomas/mens-hockey/,St. Thomas,1,@,Northern Michigan,northern-michigan,/team/northern-michigan/mens-hockey/,Northern Michigan,4,,,CC2,Box Score,
2022,Fri.,20211008,10/8/2021,7:05 ET,Boston University,boston-university,/team/boston-university/mens-hockey/,Boston University,2,@,Connecticut,connecticut,/team/connecticut/mens-hockey/,Connecticut,1,,,HE,Box Score,
2022,Fri.,20211008,10/8/2021,7:05 ET,Ohio State,ohio-state,/team/ohio-state/mens-hockey/,Ohio State,1,@,Bentley,bentley,/team/bentley/mens-hockey/,Bentley,2,,,NC,Box Score,
2022,Fri.,20211008,10/8/2021,7:07 CT,Minnesota Duluth,minnesota-duluth,/team/minnesota-duluth/mens-hockey/,Minnesota Duluth,4,@,Bemidji State,bemidji-state,/team/bemidji-state/mens-hockey/,Bemidji State,2,,,NC,Box Score,
2022,Fri.,20211008,10/8/2021,7:07 MT,St. Lawrence,st-lawrence,/team/st-lawrence/mens-hockey/,St. Lawrence,2,@,Colorado College,colorado-college,/team/colorado-college/mens-hockey/,Colorado College,1,,,NC,Box Score,
2022,Fri.,20211008,10/8/2021,7:07 MT,Arizona State,arizona-state,/team/arizona-state/mens-hockey/,Arizona State,3,@,Denver,denver,/team/denver/mens-hockey/,Denver,8,,,NC,Box Score,
2022,Fri.,20211008,10/8/2021,7:07 CT,St. Cloud State,st-cloud-state,/team/st-cloud-state/mens-hockey/,St. Cloud State,0,@,Minnesota State,minnesota-state,/team/minnesota-state/mens-hockey/,Minnesota State,1,,,NC,Box Score,Spectrum 191
2022,Fri.,20211008,10/8/2021,7:00 ET,Air Force,air-force,/team/air-force/mens-hockey/,Air Force,3,@,Michigan State,michigan-state,/team/michigan-state/mens-hockey/,Michigan State,2,OT,,NC,Box Score,
2022,Fri.,20211008,10/8/2021,7:00 ET,Canisius,canisius,/team/canisius/mens-hockey/,Canisius,4,@,Penn State,penn-state,/team/penn-state/mens-hockey/,Penn State,1,,,NC,Box Score,
2022,Fri.,20211008,10/8/2021,7:00 ET,Bowling Green,bowling-green,/team/bowling-green/mens-hockey/,Bowling Green,2,@,Rensselaer,rensselaer,/team/rensselaer/mens-hockey/,Rensselaer,2,OT,,NC,Box Score,
2022,Fri.,20211008,10/8/2021,7:07 AT,Clarkson,clarkson,/team/clarkson/mens-hockey/,Clarkson,2,@,Alaska,alaska,/team/alaska/mens-hockey/,Alaska,1,,,NC,Box Score,
2022,Fri.,20211008,10/8/2021,7:30 ET,Lake Superior,lake-superior,/team/lake-superior/mens-hockey/,Lake Superior,1,@,Michigan,michigan,/team/michigan/mens-hockey/,Michigan,6,,,NC,Box Score,
2022,Fri.,20211008,10/8/2021,7:00 CT,Mercyhurst,mercyhurst,/team/mercyhurst/mens-hockey/,Mercyhurst,4,@,Minnesota,minnesota,/team/minnesota/mens-hockey/,Minnesota,7,,,NC,Box Score,BSN+
