2014,31,Kristers Gudlevskis,/players/g/gudlekr01.html,21,TBL,/teams/TBL/2014.html,1,1,1,0,0,2,38,36,.947,2.00,0,60,1,1.000,0,,,0,0,0,0
2014,32,Jonas Gustavsson,/players/g/gustajo01.html,29,DET,/teams/DET/2014.html,27,26,16,5,4,68,735,667,.907,2.63,0,1551,13,.500,6,107,-4.67,0,0,0,0
2014,33,Matt Hackett,/players/h/hackema01.html,23,BUF,/teams/BUF/2014.html,8,8,1,6,1,22,239,217,.908,3.10,0,426,4,.500,1,,,0,0,0,0
2014,34,Jaroslav Halak,/players/h/halakja01.html,28,TOT,,52,50,29,13,7,110,1385,1275,.921,2.25,5,2939,30,.600,6,92,9.34,0,1,1,0
2014,35,Andrew Hammond,/players/h/hammoan01.html,25,OTT,/teams/OTT/2014.html,1,0,,,,0,11,11,1.000,0.00,0,35,0,,0,,,0,0,0,0
2014,36,Josh Harding,/players/h/hardijo01.html,29,MIN,/teams/MIN/2014.html,29,26,18,7,3,46,690,644,.933,1.65,3,1668,21,.808,3,77,13.45,0,0,0,0
2014,37,Cal Heeter,/players/h/heeteca01.html,25,PHI,/teams/PHI/2014.html,1,1,0,0,1,5,38,33,.868,4.69,0,64,0,.000,0,,,0,0,0,0
2014,38,Magnus Hellberg,/players/h/hellbma01.html,22,NSH,/teams/NSH/2014.html,1,0,,,,1,4,3,.750,5.00,0,12,0,,0,,,0,0,0,0
2014,39,Jonas Hiller,/players/h/hillejo01.html,31,ANA,/teams/ANA/2014.html,50,50,29,13,7,120,1348,1228,.911,2.48,5,2909,27,.540,11,103,-3.85,0,2,2,0
2014,40,Braden Holtby,/players/h/holtbbr01.html,24,WSH,/teams/WSH/2014.html,48,45,23,15,4,126,1475,1349,.915,2.85,4,2656,26,.578,7,99,1.10,0,2,2,7
2014,41,Jimmy Howard,/players/h/howarja02.html,29,DET,/teams/DET/2014.html,51,50,21,19,11,133,1482,1349,.910,2.66,2,3004,25,.500,7,104,-5.30,0,0,0,6
2014,42,Michael Hutchinson,/players/h/hutchmi01.html,23,WPG,/teams/WPG/2014.html,3,3,2,1,0,5,88,83,.943,1.64,0,183,3,1.000,0,,,0,0,0,0
2014,43,Carter Hutton,/players/h/huttoca01.html,28,NSH,/teams/NSH/2014.html,40,34,20,11,4,91,1006,915,.910,2.62,1,2085,15,.441,8,105,-4.32,0,1,1,2
2014,44,Chad Johnson,/players/j/johnsch02.html,27,BOS,/teams/BOS/2014.html,27,23,17,4,3,53,708,655,.925,2.10,2,1511,15,.652,2,87,8.01,0,0,0,0
