year,game_date,team,team_div,opponent,opponent_div,team_score,opponent_score,outcome
1999,1998-10-03,Notre Dame,I,Wisconsin,I,2,1,1.0
1999,1998-10-09,Lake Superior,I,Notre Dame,I,2,4,0.0
1999,1998-10-09,Boston College,I,Ohio State,I,4,3,1.0
1999,1998-10-09,Bowling Green,I,Miami,I,4,2,1.0
1999,1998-10-09,Ferris State,I,Western Michigan,I,3,1,1.0
1999,1998-10-09,Ferris State,I,Western Michigan,I,3,1,1.0
1999,1998-10-09,Northern Michigan,I,Michigan Tech,I,8,2,1.0
1999,1998-10-09,St. Lawrence,I,Minnesota,I,6,4,1.0
1999,1998-10-10,Michigan Tech,I,Northern Michigan,I,0,3,0.0
1999,1998-10-10,Western Michigan,I,Notre Dame,I,1,7,0.0
1999,1998-10-10,Western Michigan,I,Notre Dame,I,1,7,0.0
1999,1998-10-10,Boston College,I,St. Lawrence,I,3,2,1.0
1999,1998-10-10,Bowling Green,I,Miami,I,5,5,0.5
1999,1998-10-10,Mankato State,I,Alaska-Anchorage,I,4,3,1.0
1999,1998-10-10,Ohio State,I,Minnesota,I,3,4,0.0
1999,1998-10-11,Mankato State,I,Alaska-Anchorage,I,5,2,1.0
1999,1998-10-11,Lake Superior,I,Michigan,I,0,2,0.0
1999,1998-10-16,Northeastern,I,Bowling Green,I,4,2,1.0
1999,1998-10-16,Maine,I,Nebraska-Omaha,I,7,2,1.0
1999,1998-10-16,Notre Dame,I,Ferris State,I,5,3,1.0
1999,1998-10-16,Bentley,II,Canisius,I,2,6,0.0
1999,1998-10-16,Miami,I,Northern Michigan,I,2,3,0.0
1999,1998-10-16,Alaska-Anchorage,I,Alaska,I,4,5,0.0
1999,1998-10-16,Bentley,II,Canisius,I,2,6,0.0
1999,1998-10-16,Ohio State,I,Lake Superior,I,4,1,1.0
1999,1998-10-16,Niagara,I,Michigan,I,5,6,0.0
1999,1998-10-16,Michigan Tech,I,Wisconsin,I,2,1,1.0
1999,1998-10-16,Western Michigan,I,Michigan State,I,1,1,0.5
1999,1998-10-16,Western Michigan,I,Michigan State,I,1,1,0.5
1999,1998-10-16,Minnesota-Duluth,I,Minnesota,I,2,2,0.5
1999,1998-10-17,Northeastern,I,Bowling Green,I,3,5,0.0
1999,1998-10-17,Maine,I,Nebraska-Omaha,I,3,0,1.0
1999,1998-10-17,Ohio State,I,Ferris State,I,2,4,0.0
1999,1998-10-17,Miami,I,Northern Michigan,I,2,5,0.0
1999,1998-10-17,Alaska,I,Alaska-Anchorage,I,1,3,0.0
1999,1998-10-17,Bentley,II,Canisius,I,4,5,0.0
1999,1998-10-17,Bentley,II,Canisius,I,4,5,0.0
1999,1998-10-17,Boston University,I,Rensselaer,I,3,4,0.0
1999,1998-10-17,Notre Dame,I,Lake Superior,I,4,3,1.0
1999,1998-10-17,New Hampshire,I,Vermont,I,4,3,1.0
1999,1998-10-17,Niagara,I,Michigan,I,2,1,1.0
1999,1998-10-17,Michigan Tech,I,Wisconsin,I,2,3,0.0
1999,1998-10-17,Massachusetts,I,Michigan State,I,1,3,0.0
1999,1998-10-17,Minnesota-Duluth,I,Minnesota,I,1,3,0.0
1999,1998-10-22,Massachusetts-Lowell,I,Massachusetts,I,4,3,1.0
1999,1998-10-23,Nebraska-Omaha,I,Denver,I,1,4,0.0
1999,1998-10-23,Alabama-Huntsville,I,Army,I,3,2,1.0
1999,1998-10-23,Lake Superior,I,New Hampshire,I,2,5,0.0
1999,1998-10-23,Union,I,Niagara,I,5,3,1.0
1999,1998-10-23,Michigan State,I,Bowling Green,I,7,1,1.0
1999,1998-10-23,Colgate,I,Northeastern,I,0,2,0.0
1999,1998-10-23,Alabama-Huntsville,I,Army,I,3,2,1.0
1999,1998-10-23,Ohio State,I,Notre Dame,I,0,3,0.0
1999,1998-10-23,St. Norbert,III,Fredonia,III,7,0,1.0
1999,1998-10-23,Fairfield,I,Bentley,II,3,7,0.0
1999,1998-10-23,Miami,I,Providence,I,5,3,1.0
1999,1998-10-23,Northern Michigan,I,Clarkson,I,6,5,1.0
1999,1998-10-23,Quinnipiac College,II,Iona,I,5,1,1.0
1999,1998-10-23,Holy Cross,I,Air Force,I,5,5,0.5
1999,1998-10-23,St. Lawrence,I,Merrimack,I,4,1,1.0
1999,1998-10-23,Canisius,I,Mankato State,I,3,11,0.0
1999,1998-10-23,RIT,III,Mercyhurst,II,7,5,1.0
1999,1998-10-23,Michigan,I,Alaska,I,6,1,1.0
1999,1998-10-23,Wisconsin-Stout,III,Wisconsin-Eau Claire,III,5,9,0.0
1999,1998-10-23,Colorado College,I,Michigan Tech,I,3,1,1.0
1999,1998-10-23,St. Cloud State,I,Minnesota,I,0,3,0.0
1999,1998-10-24,Nebraska-Omaha,I,Denver,I,1,5,0.0
1999,1998-10-24,Ferris State,I,Bowling Green,I,1,2,0.0
1999,1998-10-24,Alabama-Huntsville,I,Army,I,1,2,0.0
1999,1998-10-24,Miami,I,New Hampshire,I,1,4,0.0
1999,1998-10-24,Iona,I,Fairfield,I,12,3,1.0
1999,1998-10-24,Alabama-Huntsville,I,Army,I,1,2,0.0
1999,1998-10-24,Holy Cross,I,Air Force,I,2,5,0.0
1999,1998-10-24,Mercyhurst,II,Fredonia,III,6,3,1.0
1999,1998-10-24,Hobart,III,Plattsburgh,III,1,6,0.0
1999,1998-10-24,Lake Superior,I,Providence,I,2,7,0.0
1999,1998-10-24,Northern Michigan,I,Clarkson,I,3,2,1.0
1999,1998-10-24,Minnesota,I,St. Cloud State,I,5,6,0.0
1999,1998-10-24,Quinnipiac College,II,Bentley,II,7,4,1.0
1999,1998-10-24,Union,I,Maine,I,1,6,0.0
