year,round_id,team_id,seed,points,bracket,p
2016,1,DAL,1,109,"{1,1,1,1,1}",1.0
2016,1,MIN,4,87,"{2,1,1,1,1}",1.0
2016,1,STL,2,107,"{3,2,1,1,1}",1.0
2016,1,CHI,3,103,"{4,2,1,1,1}",1.0
2016,1,ANA,1,103,"{5,3,2,1,1}",1.0
2016,1,NSH,4,96,"{6,3,2,1,1}",1.0
2016,1,LAK,2,102,"{7,4,2,1,1}",1.0
2016,1,SJS,3,98,"{8,4,2,1,1}",1.0
2016,1,WSH,1,120,"{9,5,3,2,1}",1.0
2016,1,PHI,4,96,"{10,5,3,2,1}",1.0
2016,1,PIT,2,104,"{11,6,3,2,1}",1.0
2016,1,NYR,3,101,"{12,6,3,2,1}",1.0
2016,1,FLA,1,103,"{13,7,4,2,1}",1.0
2016,1,NYI,4,100,"{14,7,4,2,1}",1.0
2016,1,TBL,2,97,"{15,8,4,2,1}",1.0
2016,1,DET,3,93,"{16,8,4,2,1}",1.0
