year,round_id,team_id,seed,bracket,p
2015,1,STL,1,"{1,1,1,1,1}",1.0
2015,1,MIN,4,"{2,1,1,1,1}",1.0
2015,1,NSH,2,"{3,2,1,1,1}",1.0
2015,1,CHI,3,"{4,2,1,1,1}",1.0
2015,1,ANA,1,"{5,3,2,1,1}",1.0
2015,1,WPG,4,"{6,3,2,1,1}",1.0
2015,1,VAN,2,"{7,4,2,1,1}",1.0
2015,1,CGY,3,"{8,4,2,1,1}",1.0
2015,1,MTL,1,"{9,5,3,2,1}",1.0
2015,1,OTT,4,"{10,5,3,2,1}",1.0
2015,1,TBL,2,"{11,6,3,2,1}",1.0
2015,1,DET,3,"{12,6,3,2,1}",1.0
2015,1,NYR,1,"{13,7,4,2,1}",1.0
2015,1,PIT,4,"{14,7,4,2,1}",1.0
2015,1,WSH,2,"{15,8,4,2,1}",1.0
2015,1,NYI,3,"{16,8,4,2,1}",1.0
