BEGIN
SET
       team        | h_div |  site   |        opp        | v_div | t_score | o_score 
 Piedmont          |     3 | home    | Beloit            |     3 |    10.7 |     7.8
 Providence        |     1 | home    | Sacred Heart      |     1 |    13.8 |     8.5
 Queens (NC)       |     2 | home    | Colorado Mesa     |     2 |     7.7 |     9.0
 Randolph          |     3 | home    | Susquehanna       |     3 |     6.7 |    13.2
 Randolph-Macon    |     3 | home    | York (PA)         |     3 |    10.9 |    17.1
 Rhodes            |     3 | home    | Wilmington (OH)   |     3 |    12.5 |     8.1
 Richard Stockton  |     3 | home    | Ursinus           |     3 |     7.5 |    12.5
 Rochester Inst.   |     3 | home    | Keuka             |     3 |    25.7 |     5.0
 Roger Williams    |     3 | home    | Wheaton (MA)      |     3 |     9.2 |     8.0
 Rollins           |     2 | home    | Belmont Abbey     |     2 |     7.3 |     9.2
 Rosemont          |     3 | home    | Penn St.-Abington |     3 |    18.5 |     6.8
 Rutgers           |     1 | home    | Army              |     1 |     8.2 |     8.8
 Salisbury         |     3 | home    | Ohio Wesleyan     |     3 |    10.6 |     6.8
 Seton Hill        |     2 | home    | Chestnut Hill     |     2 |    15.7 |     7.2
 Sewanee           |     3 | neutral | Va. Wesleyan      |     3 |     8.3 |    11.1
 Shenandoah        |     3 | home    | SUNYIT            |     3 |    16.5 |     3.9
 Siena             |     1 | home    | Hartford          |     1 |    12.9 |     9.8
 Stevenson         |     3 | home    | Goucher           |     3 |    17.3 |     7.4
 St. Johns (NY)    |     1 | neutral | Syracuse          |     1 |     8.5 |    10.0
 SUNY Maritime     |     3 | home    | Becker            |     3 |    15.0 |     8.9
 Swarthmore        |     3 | home    | Cabrini           |     3 |    10.6 |    13.3
 Tampa             |     2 | home    | Catawba           |     2 |    13.8 |     9.9
 Transylvania      |     3 | home    | Defiance          |     3 |    12.8 |     3.9
 U New England     |     3 | home    | Plymouth St.      |     3 |     6.1 |    14.7
 Union (NY)        |     3 | home    | Babson            |     3 |    10.1 |     9.8
 Virginia          |     1 | home    | Cornell           |     1 |     9.5 |    17.2
 Wagner            |     1 | home    | Mercer            |     1 |     9.6 |    12.6
 Washington Col.   |     3 | home    | Wesley            |     3 |    14.9 |     5.1
 Wash. & Lee       |     3 | home    | Frank. & Marsh.   |     3 |    11.2 |     6.3
 Wesleyan (CT)     |     3 | home    | Williams          |     3 |     7.4 |     6.5
 Western Conn. St. |     3 | home    | Castleton         |     3 |    15.2 |     7.0
 Western New Eng.  |     3 | home    | Salve Regina      |     3 |    10.7 |     5.8
 Wingate           |     2 | home    | Lenoir-Rhyne      |     2 |     9.9 |    13.2
 Yale              |     1 | home    | Fairfield         |     1 |    10.2 |     6.1
(103 rows)

COMMIT
