BEGIN
 year | div | div | won | lost | tied | count 
------+-----+-----+-----+------+------+-------
 2002 |   1 |   1 | 921 |  921 |  174 |  2016
 2002 |   3 |   3 | 535 |  535 |   90 |  1160
 2003 |   1 |   1 | 651 |  651 |  158 |  1460
 2003 |   1 |   3 |   2 |    1 |    1 |     4
 2003 |   3 |   3 | 597 |  597 |   94 |  1288
 2004 |   1 |   1 | 816 |  816 |  206 |  1838
 2004 |   3 |   3 | 581 |  581 |  120 |  1282
 2005 |   1 |   1 | 929 |  929 |  214 |  2072
 2005 |   3 |   3 | 718 |  718 |  138 |  1574
 2006 |   1 |   1 | 961 |  961 |  220 |  2142
 2006 |   1 |   3 |  21 |    4 |    2 |    27
 2006 |   3 |   3 | 731 |  731 |  112 |  1574
 2007 |   1 |   1 | 968 |  968 |  224 |  2160
 2007 |   3 |   3 | 743 |  743 |  136 |  1622
 2008 |   1 |   1 | 985 |  985 |  258 |  2228
 2008 |   3 |   3 | 737 |  737 |  132 |  1606
 2009 |   1 |   1 | 970 |  970 |  266 |  2206
 2009 |   3 |   3 | 778 |  778 |  132 |  1688
 2010 |   1 |   1 | 968 |  968 |  248 |  2184
 2010 |   3 |   3 | 812 |  812 |  146 |  1770
 2011 |   1 |   1 | 944 |  944 |  276 |  2164
 2011 |   3 |   3 | 822 |  822 |  142 |  1786
 2012 |   1 |   1 | 974 |  974 |  250 |  2198
 2012 |   3 |   3 | 806 |  806 |  182 |  1794
 2013 |   1 |   1 | 949 |  949 |  268 |  2166
 2013 |   1 |   3 |   2 |    1 |    0 |     3
 2013 |   3 |   3 | 807 |  807 |  152 |  1766
 2014 |   1 |   1 | 998 |  998 |  226 |  2222
 2014 |   3 |   3 | 827 |  827 |  156 |  1810
 2015 |   1 |   1 | 998 |  998 |  224 |  2220
 2015 |   3 |   3 | 891 |  891 |  194 |  1976
 2016 |   1 |   1 | 960 |  960 |  280 |  2200
 2016 |   3 |   3 | 865 |  865 |  214 |  1944
 2017 |   1 |   1 | 263 |  263 |   90 |   616
 2017 |   3 |   3 | 152 |  152 |   56 |   360
(35 rows)

COMMIT
