rk,team,str,ofs,dfs,sos
1,Pittsburgh Penguins,1.377,1.331,0.967,1.014
2,Washington Capitals,1.371,1.151,0.839,1.011
3,Nashville Predators,1.277,1.145,0.897,1.010
4,Anaheim Ducks,1.223,1.102,0.901,1.007
5,Edmonton Oilers,1.209,1.095,0.906,1.001
6,Boston Bruins,1.197,1.081,0.903,0.998
7,St. Louis Blues,1.196,1.082,0.904,1.003
8,Toronto Maple Leafs,1.106,1.234,1.116,1.007
9,Tampa Bay Lightning,1.096,1.025,0.935,0.999
10,Minnesota Wild,1.087,1.070,0.984,1.000
11,Winnipeg Jets,1.077,1.234,1.146,0.994
12,Columbus Blue Jackets,1.076,0.996,0.926,1.012
13,New York Rangers,1.062,0.987,0.929,1.004
14,San Jose Sharks,1.060,0.992,0.936,1.004
15,Calgary Flames,1.046,1.065,1.018,0.999
16,New York Islanders,1.032,1.164,1.128,1.004
17,Ottawa Senators,1.027,0.947,0.922,1.015
18,Philadelphia Flyers,1.010,0.890,0.882,1.001
19,Chicago Blackhawks,0.991,0.987,0.996,1.002
20,Montreal Canadiens,0.974,0.877,0.900,1.002
21,Carolina Hurricanes,0.955,0.987,1.033,1.005
22,Los Angeles Kings,0.939,0.818,0.871,1.000
23,Florida Panthers,0.906,0.996,1.099,1.005
24,Dallas Stars,0.841,1.024,1.217,1.001
25,Buffalo Sabres,0.831,0.930,1.119,1.006
26,Detroit Red Wings,0.823,0.837,1.017,1.005
27,Arizona Coyotes,0.800,0.960,1.200,1.002
28,New Jersey Devils,0.695,0.765,1.101,1.013
29,Vancouver Canucks,0.686,0.789,1.150,1.007
30,Colorado Avalanche,0.590,0.738,1.251,1.011
